№; Наименование; Марка, модель; Состояние;  Описание; Артикул; Оригинальный номер; Год начала выпуска; Год конца выпуска; Остаток; Цена; Примечание;
627;Молдинги метал задние левая и правая;Daewoo Espero;Б/у;Состояние/Износ - хор.. Дэу Эсперо;W0712;;1991;1999;1;500;;
628;Подрамник задний;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0929;;2006;2008;1;8000;;
629;Стекло заднее левое;Suzuki Grand Vitara;Б/у;Состояние/Износ - хор.. Сузуки Гранд-Витара;W0947;;2006;3000;1;2500;;
630;Капот;Toyota Land Cruiser 100;Б/у;Состояние/Износ - 30%. Крузер100;W0792;;1998;2007;1;7000;;
631;Бампер передний;Ford Focus II;Б/у;Состояние/Износ - 10%. Форд Фокус 2;W0842;;2005;2008;1;5000;;
632;Рычаги задние нижние;Mitsubishi Lancer X;Б/у;Состояние/Износ - . Лансер10;W0762;;2007;3000;4;500;;
633;Масляный насос;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0226;;2006;3000;1;1000;;
634;Суппорт правый;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0223;;2006;3000;1;2000;;
635;Дверь задняя левая;Audi A4;Б/у;Состояние/Износ - 10%. Ауди А4 (B8);W0071;;2007;3000;1;3000;;
636;Дверь передняя правая(хэтч. 3Д);Ford Focus II;Б/у;Состояние/Износ - 15%. Форд Фокус 2;W0096;;2005;2008;1;8000;;
637;Крышка багажника;Ford Focus I;Б/у;Состояние/Износ - хор.. Форд Фокус 1;W0311;;1998;2004;1;6000;;
638;Крышка багажника;Infiniti G35 V35;Б/у;Состояние/Износ - хор.. Инфинити G35x;W0309;;2002;2007;1;7000;;
639;Крыло переднее левое;Ford Fiesta;Б/у;Состояние/Износ - 10%. Форд Фиеста;W0956;;2008;3000;1;2000;;
640;Бампер передний;Mitsubitshi Pajero/Montero;Б/у;Состояние/Износ - хор.. Паджеро3;W0144;;2000;2006;1;5000;;
641;Стойка передняя правая в сборе;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0463;;2002;3000;1;1500;;
642;Лючок бензобака;Hyundai Getz;Б/у;Состояние/Износ - хор.. Гетц;W0288;;2002;3000;1;500;;
643;Внутренние части дверей левые;Daewoo Espero;Б/у;Состояние/Износ - хор.. Дэу Эсперо;W0246;;1991;1999;1;1000;;
644;Генератор;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0205;;2006;3000;1;3000;;
645;Покрытие багажника;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0118;;2006;3000;1;2000;;
646;Дверь задняя правая;Mazda 6;Б/у;Состояние/Износ - 15%. Мазда 6;W0433;;2002;2007;1;6000;;
647;Защита арки пластик левая;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0465;;2002;3000;1;500;;
648;Блок предохранителей + проводка;Daewoo Espero;Б/у;Состояние/Износ - хор.. Дэу Эсперо;W0718;;1991;1999;1;1000;;
649;Стекло заднее првое глухое;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0451;;2002;3000;1;1000;;
650;Стойка передняя в сборе левая;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0903;;2002;2009;1;3000;;
651;Трубки кондиционера;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0229;;2006;3000;1;1500;;
652;Амортизатор задний левый;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0209;;2006;3000;1;1000;;
653;Дверь передняя правая в сборе;BMW 3,  E46;Б/у;Состояние/Износ - хор.. БМВ 3 (Е46);W0038;;1998;2005;1;5000;;
654;Привод в сборе правый;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0481;;2002;3000;1;4000;;
655;Коробка МКПП;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0467;;2002;3000;1;15000;;
656;Внутренние части передней правой и левой двери;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0484;;2002;3000;1;1000;;
657;Дверь передняя правая;Subaru Forester S11;Б/у;Состояние/Износ - 10%. Форестер;W0070;;2002;2007;1;8000;;
658;Накладка задняя хром;Toyota Land Cruiser 100;Б/у;Состояние/Износ - . Крузер100;W0765;;1998;2007;1;500;;
659;Насос ГУР;Ford Focus II;Б/у;Состояние/Износ - . Форд Фокус 2;W0833;;2005;2008;1;5000;;
660;Барабан тормозной задний левый;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0462;;2002;3000;1;500;;
661;Ролик цепи ГРМ;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0227;;2006;3000;1;500;;
662;Диск тормозной правый;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0204;;2006;3000;1;1000;;
663;Катушки зажигания;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0224;;2006;3000;1;1000;;
664;Форсунки;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0225;;2006;3000;1;4000;;
665;Амортизатор задний правый;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0208;;2006;3000;1;1000;;
666;Стойка передняя правая в сборе;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0198;;2006;3000;1;3000;;
667;Насос гидроусилителя;Daewoo Espero;Б/у;Состояние/Износ - хор.. Дэу Эсперо;W0161;;1991;1999;1;2000;;
668;Подушка двигателя;Toyota Corolla E150;Б/у;Состояние/Износ - хор.. Королла(150);W0228;;2006;3000;1;500;;
669;Стекло заднее;Toyota Corolla E150;Б/у;Состояние/Износ - 10%. Королла(150);W0082;;2006;3000;1;2000;;
670;Крышка багажника;Volkswagen Passat [B6];Б/у;Состояние/Износ - хор.. VW Пассат В6;W0313;;2005;3000;1;7000;;
671;Крыло переднее левое;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0494;;2002;3000;1;1500;;
672;Бампер задний;Suzuki Grand Vitara;;Рестайлинг после 2010г.,небольшая трещина.;W1061;;2005;0;1;6000;RZD;
673;Бампер передний;Lexus GS300;Б/у;Под парктроники,небольшие дефекты.;W1062;;2012;3000;1;7000;RZD;
674;Бампер задний;Hyundai Solaris;Б/у;Седан,под парктроники;W1063;;2010;0;1;4000;RZD;
675;Бампер задний;Toyota Corolla;Б/у;Рестайлинг с 2010г. ;W1064;;2010;0;1;5000;RZD;
676;Бампер задний;Mitsubishi Lancer;Б/у;Хэтчбек,под ремонт.;W1065;;2007;0;1;2000;RZD;
677;Бампер передний;Mitsubishi Lancer;Б/у;До рестайлинг,небольшие дефекты.;W1066;;2007;0;1;3000;Наш;
678;Бампер задний;Lexus GS300;Б/у;Под парктроники;W1067;;2012;3000;1;7000;RZD;
679;Бампер задний;Honda Civic;Б/у;Седан;W1068;;2006;2012;1;6000;RZD;
680;Бампер задний;Infiniti FX;Б/у;Под парктроники;W1069;;2008;0;1;7500;RZD;
681;Бампер задний;Infiniti QX56;Б/у;Под парктроники;W1070;;2010;0;1;8000;RZD;
682;Защита моторного отсека ;Nissan X-Trail;Б/у;Защита металлическая новая;W1071;;2007;0;1;3000;RZD;
683;Защита моторного отсека ;Honda CRV;Б/у;Защита металлическая новая;W1072;;2006;0;1;3000;;
