№; Наименование; Марка, модель; Состояние;  Описание; Артикул; Оригинальный номер; Год начала выпуска; Год конца выпуска; Остаток; Цена; Примечание;
127;Бампер передний;Audi A4;Б/у;Состояние/Износ - . Ауди А4 (B8);W0419;;2007;3000;1;5000;;
128;Крыло переднее левое;Audi A4;Б/у;Состояние/Износ - 20%. Ауди А4 (B8);W0498;;2007;3000;1;2000;;
129;Дверь задняя правая;Mazda 6;Б/у;Состояние/Износ - хор.. Мазда 6;W0024;;2007;3000;1;7000;;
130;Корпус воздушного фильтра;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0817;;2002;2009;1;4000;;
131;Моторчик дворников;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0817;;2002;2009;1;2000;;
132;Борода платиковая салон;Hyundai Getz;Б/у;Состояние/Износ - . Гетц (до рест.);W0447;;2002;3000;1;1000;;
133;Подушка двигателя;Mazda 3 Х/б;Б/у;Состояние/Износ - . Мазда3 х/б;W0940;;2002;2009;1;1500;;
134;Бампер передний новый;Mitsubishi Delica;Б/у;Состояние/Износ - . Делика;W0847;;1994;2007;1;8000;;
135;Капот;Ford Fusion;Б/у;Состояние/Износ - 20%. Фьюжин;W0791;;2002;3000;1;5000;;
136;Дверь передняя левая;BMW  X3 ();Б/у;Состояние/Износ - 30%. БМВ Х3;W0786;;0;0;1;5000;;
137;Замок двери пер. правой;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0933;;2006;2008;1;1000;;
138;Стеклоподьёмник двери пер. правой;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0934;;2006;2008;1;3000;;
139;Крыло переднее левое;Hyundai Sonata V NEW EF;Б/у;Состояние/Износ - . Соната Тагаз;W0771;;2001;3000;1;1500;;
140;Стабилизатор поперечной устойчивости пер,зад;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0889;;2006;2008;1;1000;;
141;Дверь задняя правая;Mazda 6;Б/у;Состояние/Износ - 30%. Мазда 6;W1014;;2002;2007;1;6000;;
142;Рычаги задние лев. и прав.;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0888;;2006;2008;1;2000;;
143;Рычаг передний левый;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0887;;2006;2008;1;3000;;
144;Стойка передняя левая в сборе;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0886;;2006;2008;1;4000;;
145;Суппорт зад лев прав;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0883;;2006;2008;1;2000;;
146;Привод левый;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0884;;2006;2008;1;8000;;
147;Кулак поворотный со ступицей передний;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0885;;2006;2008;1;8000;;
148;Части задней подвески;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0882;;2006;2008;1;1000;;
149;Части задней подвески;Nissan Teana J31;Б/у;Состояние/Износ - . Теана 31;W0881;;2006;2008;1;1000;;
